,,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,,8950,2754,3992,2204,2430,2219,2526,1775,783,2199,1688,2407,1873,1663,2155,763,1739,1785,845,1736,1773,2156,1663,850,769,3,1623,851,1898,716,1349,1646,3,864
Seg_Pct,,100%,31%,45%,25%,27%,25%,28%,20%,9%,25%,19%,27%,21%,19%,24%,9%,19%,20%,9%,19%,20%,24%,19%,9%,9%,0%,18%,10%,21%,8%,15%,18%,0%,10%
CASH_ADVANCE_TRX,AVERAGE,3.08,1.94,5.21,0.65,7.38,0.61,2.03,1.77,16.57,0.59,1.42,1.24,4.22,1.44,0.60,16.60,1.36,4.31,1.38,1.37,4.27,0.61,1.44,1.40,16.54,2.00,1.44,1.27,0.69,16.99,1.84,4.64,2.00,0.63
PURCHASES_TRX,,14.15,33.40,2.34,11.51,1.10,11.39,34.61,6.34,9.37,11.41,6.30,34.49,0.30,6.35,11.39,8.57,19.51,0.06,60.32,19.39,0.05,11.40,6.34,60.41,8.37,0.00,20.34,59.68,12.60,9.16,7.15,0.07,0.00,3.04
Monthly_Avg_Purchase,,80.56,194.23,22.12,44.36,7.22,44.16,196.60,61.33,58.01,43.97,61.53,196.11,1.57,61.91,43.91,52.40,102.90,0.38,359.54,102.15,0.30,43.92,61.49,360.62,51.54,0.00,105.84,358.15,47.64,55.74,65.25,0.42,0.00,29.38
Monthly_Avg_Cash,,85.25,47.91,146.20,21.51,209.21,19.65,49.53,48.39,459.42,19.16,37.77,30.04,120.16,38.03,19.48,463.83,29.74,122.95,38.64,29.89,121.81,19.52,38.21,37.48,462.95,542.25,31.26,35.05,21.95,476.54,48.22,128.05,542.25,25.59
CREDIT_LIMIT,,4474.42,5964.09,4178.08,3149.77,4361.77,3140.51,5902.02,4264.61,7439.59,3126.64,4149.61,5800.62,3405.63,4145.48,3130.99,7479.29,4441.89,3440.89,8084.85,4407.97,3429.66,3133.71,4145.18,8123.06,7448.24,10333.33,4389.06,8130.67,3011.16,7604.47,3974.83,3462.98,10333.33,4340.64
Purchase_Type_both,YES %,0.31,0.89,0.07,0.02,0.07,0.03,0.98,0.03,0.30,0.02,0.01,0.98,0.05,0.00,0.00,0.28,0.99,0.01,0.96,0.99,0.01,0.00,0.00,0.96,0.27,0.00,0.99,0.96,0.00,0.29,0.00,0.01,0.00,0.13
Purchase_Type_cash,,0.23,0.00,0.51,0.00,0.84,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.94,0.00,0.00,0.37,0.00,0.99,0.00,0.00,0.99,0.00,0.00,0.00,0.38,1.00,0.00,0.00,0.00,0.36,0.00,0.98,1.00,0.19
Purchase_Type_installment,,0.25,0.01,0.02,0.97,0.04,0.97,0.01,0.00,0.11,0.98,0.00,0.01,0.01,0.00,1.00,0.11,0.01,0.01,0.00,0.01,0.01,1.00,0.00,0.00,0.11,0.00,0.01,0.00,1.00,0.12,0.00,0.01,0.00,0.29
Purchase_Type_oneoff,,0.21,0.10,0.40,0.00,0.05,0.00,0.01,0.97,0.24,0.00,0.99,0.01,0.00,1.00,0.00,0.24,0.00,0.00,0.03,0.00,0.00,0.00,1.00,0.03,0.24,0.00,0.00,0.03,0.00,0.23,1.00,0.00,0.00,0.38
BALANCE_FREQUENCY,FREQUENCY %,0.88,0.96,0.86,0.81,0.90,0.81,0.96,0.82,0.97,0.81,0.81,0.96,0.88,0.82,0.81,0.96,0.93,0.87,0.98,0.93,0.87,0.81,0.82,0.98,0.96,0.58,0.96,0.98,0.89,0.96,0.94,0.94,0.58,0.33
PURCHASES_FREQUENCY,,0.49,0.85,0.12,0.70,0.06,0.70,0.84,0.32,0.33,0.70,0.32,0.84,0.02,0.32,0.70,0.32,0.74,0.00,0.96,0.73,0.00,0.70,0.32,0.97,0.32,0.00,0.76,0.97,0.76,0.33,0.36,0.00,0.00,0.18
ONEOFF_PURCHASES_FREQUENCY,,0.20,0.51,0.10,0.00,0.02,0.00,0.47,0.32,0.17,0.00,0.32,0.47,0.01,0.32,0.00,0.16,0.30,0.00,0.75,0.30,0.00,0.00,0.32,0.76,0.16,0.00,0.31,0.75,0.00,0.16,0.36,0.00,0.00,0.08
PURCHASES_INSTALLMENTS_FREQUENCY,,0.36,0.62,0.02,0.67,0.04,0.66,0.67,0.00,0.22,0.66,0.00,0.67,0.01,0.00,0.67,0.21,0.58,0.00,0.78,0.58,0.00,0.67,0.00,0.78,0.20,0.00,0.60,0.78,0.73,0.22,0.00,0.00,0.00,0.10
CASH_ADVANCE_FREQUENCY,,0.13,0.08,0.23,0.03,0.31,0.03,0.09,0.09,0.56,0.03,0.08,0.06,0.22,0.08,0.03,0.57,0.07,0.22,0.06,0.07,0.22,0.03,0.08,0.06,0.57,0.14,0.07,0.06,0.04,0.57,0.10,0.24,0.14,0.03
Limit_Usage,,0.39,0.33,0.50,0.24,0.58,0.24,0.35,0.36,0.60,0.24,0.35,0.33,0.57,0.36,0.25,0.60,0.37,0.56,0.25,0.37,0.56,0.25,0.36,0.25,0.60,0.01,0.40,0.24,0.28,0.59,0.44,0.62,0.01,0.02
Pay_to_MinimumPay,,5.52,7.66,4.86,4.04,5.09,4.11,7.47,5.08,3.86,4.04,5.16,7.70,5.47,5.14,4.03,3.88,4.47,4.58,15.70,4.66,4.58,4.03,5.14,13.09,3.86,616.62,4.16,13.43,3.79,3.97,3.62,2.85,616.62,11.28
PRC_FULL_PAYMENT,,0.15,0.21,0.05,0.27,0.04,0.27,0.20,0.10,0.04,0.27,0.10,0.21,0.04,0.10,0.27,0.04,0.12,0.04,0.38,0.12,0.04,0.27,0.10,0.37,0.04,0.21,0.10,0.39,0.26,0.04,0.08,0.02,0.21,0.26
